"id","word","type","translation_fr","example_1_en","example_1_fr","example_2_en","example_2_fr","example_3_en","example_3_fr","scramble_easy_sentence","scramble_easy_words","scramble_medium_sentence","scramble_medium_words","scramble_hard_sentence","scramble_hard_words"
"4","advantageous","adjective","avantageux","This plan offers many advantageous results.","Ce plan offre de nombreux résultats avantageux.","The new policy provides several advantageous benefits for all employees everyday.","La nouvelle politique fournit plusieurs avantages avantageux pour tous les employés chaque jour.","Despite the challenges, adopting this strategy will yield numerous advantageous outcomes that enhance overall productivity and efficiency.","Malgré les défis, adopter cette stratégie donnera de nombreux résultats avantageux qui améliorent la productivité globale et l'efficacité.","This plan offers many advantageous results.","This / plan / offers / many / advantageous / results.","The new policy provides several advantageous benefits for all employees everyday.","The / new / policy / provides / several / advantageous / benefits / for / all / employees / everyday","Despite the challenges, adopting this strategy will yield numerous advantageous outcomes that enhance overall productivity and efficiency.","Despite / the / challenges, / adopting / this / strategy / will / yield / numerous / advantageous / outcomes / that / enhance / overall / productivity / and / efficiency."
"2","anxious","adjective","anxieux/anxieuse","I feel anxious about the upcoming presentation.","Je me sens anxieux à propos de la présentation prochaine.","The customer was anxious when waiting for a response.","Le client était anxieux lorsqu'il attendait une réponse.","She appeared anxious during the interview.","Elle semblait anxieuse pendant l'entretien.","He is anxious about the meeting.","He / is / anxious / about / the / meeting.","Employees become anxious if deadlines are not clearly communicated by management.","Employees / become / anxious / if / deadlines / are / not / clearly / communicated / by / management.","Despite the company's assurances, many investors remain anxious about potential market fluctuations affecting quarterly profits in this year.","Despite / the / company’s / assurances, / many / investors / remain / anxious / about / potential / market / fluctuations / affecting / quarterly / profits / in / this / year."
"1","advantage","noun","avantage","The company offers a competitive advantage to its customers.","L'entreprise offre un avantage concurrentiel à ses clients.","Having an early start gives us a strategic advantage in the market.","Commencer tôt nous donne un avantage stratégique sur le marché.","Employees who receive additional training have a clear advantage over their peers.","Les employés qui reçoivent une formation supplémentaire ont un avantage clair par rapport à leurs pairs.","This product provides a significant advantage.","advantage / This / a / product / significant / provides","By investing in research, the firm gains a competitive advantage over rivals.","advantage / By / the / firm / in / research, / a / gains / competitive / investing / rivals / over","The new marketing strategy will give our company a distinct advantage by attracting more loyal customers worldwide.","advantage / The / marketing / strategy / by / giving / our / company / new / distinct / customers / attracting / loyal / world / a / more / will"
"5","apologize","verb","s'excuser","I apologize for the delay in sending the report.","Je m’excuse pour le retard dans l’envoi du rapport.","She apologized to her colleague after the misunderstanding.","Elle s’est excusée auprès de son collègue après le malentendu.","The company apologizes for any inconvenience caused by the outage.","La société s'excuse pour tout désagrément causé par la panne.","I apologize for the delay","I / apologize / for / the / delay","She apologized to her colleague after the misunderstanding","She / apologized / to / her / colleague / after / the / misunderstanding","The company apologizes for any inconvenience caused by the outage during the meeting","The / company / apologizes / for / any / inconvenience / caused / by / the / outage / during / the / meeting"
"7","advertise","verb","faire de la publicité","The company will advertise its new product next month.","L'entreprise fera la publicité de son nouveau produit le mois prochain.","She advertised her services on the local bulletin board.","Elle a fait de la publicité pour ses services sur le tableau d'affichage local.","We need to advertise the conference to attract more participants.","Nous devons faire de la publicité pour la conférence afin d'attirer plus de participants.","The firm will advertise its new software soon","The / firm / will / advertise / its / new / software / soon","Marketing managers plan to advertise the upcoming product launch across multiple platforms","Marketing / managers / plan / to / advertise / the / upcoming / product / launch / across / multiple / platforms","In order to increase market share, the company decided to advertise its innovative solution through targeted digital campaigns and traditional media outlets","In / order / to / increase / market / share , / the / company / decided / to / advertise / its / innovative / solution / through / targeted / digital / campaigns / and / traditional / media / outlets"
"8","appeal","noun","appel","The company filed an appeal against the contract termination.","L'entreprise a déposé un appel contre la résiliation du contrat.","She made a heartfelt appeal to the committee for more funding.","Elle a fait une demande sincère au comité pour plus de financement.","The appeal was granted, allowing the employee to return to work.","L'appel a été accordé, permettant à l'employé de reprendre le travail.","The manager made an appeal for better office supplies","The / manager / made / an / appeal / for / better / office / supplies","During the meeting, the team presented a formal appeal to the board regarding budget cuts","During / the / meeting , / the / team / presented / a / formal / appeal / to / the / board / regarding / budget / cuts","Following the audit findings, the senior executives drafted an urgent appeal to secure additional resources for the project timeline extension","Following / the / audit / findings , / the / senior / executives / drafted / an / urgent / appeal / to / secure / additional / resources / for / the / project / timeline / extension"
"6","abroad","adverb","à l'étranger","I will travel abroad next month.","Je voyagerai à l'étranger le mois prochain.","The company has offices abroad in Asia.","La société possède des bureaux à l'étranger en Asie.","He studied abroad during his university years.","Il a étudié à l'étranger pendant ses années universitaires.","She will work abroad soon.","She / will / work / abroad / soon","The conference will be held abroad in Berlin next week for participants.","The / conference / will / be / held / abroad / in / Berlin / next / week / for / participants","Despite the challenges, our team successfully negotiated a contract abroad with the new supplier last quarter.","Despite / the / challenges, / our / team / successfully / negotiated / a / contract / abroad / with / the / new / supplier / last / quarter."
"3","ability","noun","capacité","The company's ability to adapt quickly is a competitive advantage.","La capacité de l'entreprise à s'adapter rapidement constitue un avantage concurrentiel.","She demonstrated her ability to negotiate effectively during the meeting.","Elle a démontré sa capacité à négocier efficacement lors de la réunion.","Our ability to meet deadlines depends on proper planning.","Notre capacité à respecter les délais dépend d'une planification adéquate.","The team has strong ability.","The / has / team / strong / ability","Effective communication enhances our ability to succeed in international markets.","international / enhance / ability / to / communication / our / success / Effective / markets / in","Despite budget constraints, the project manager's ability to coordinate multiple stakeholders ensured timely delivery.","budget / manager's / ensure / multiple / delivery / constraints, / project / stakeholder / ability / to / despite / coordinated / timely / the"
"11","appetizer","noun","hors-d'œuvre","We started the meeting with a light appetizer before presenting the main agenda.","Nous avons commencé la réunion avec un léger hors-d'œuvre avant de présenter l'agenda principal.","The hotel offers a complimentary appetizer for guests arriving early in the afternoon.","L'hôtel propose un hors-d'œuvre gratuit aux clients arrivant tôt dans l'après-midi.","During the conference, the catering staff served a variety of vegetarian appetizers to accommodate dietary restrictions.","Pendant la conférence, le personnel de restauration servait une variété d'hors-d'œuvres végétariens pour répondre aux restrictions alimentaires.","The waiter brought an appetizer to our table.","The / waiter / brought / an / appetizer / to / our / table.","We enjoyed a delicious appetizer while waiting for the main course at the restaurant.","We / enjoyed / a / delicious / appetizer / while / waiting / for / the / main / course / at / the / restaurant.","The catering team prepared an elaborate appetizer that included fresh herbs, citrus zest, and a touch of truffle oil to impress the corporate guests.","The / catering / team / prepared / an / elaborate / appetizer / that / included / fresh / herbs, / citrus / zest, / and / a / touch / of / truffle / oil / to / impress / the / corporate / guests."
"9","absolutely","adverb","absolument","The meeting was absolutely productive.","La réunion était absolument productive.","I absolutely agree with your proposal.","Je suis absolument d'accord avec votre proposition.","She was absolutely delighted by the surprise.","Elle était absolument ravie par la surprise.","Absolutely, the project is complete.","Absolutely, / the / project / is / complete","The new policy will absolutely improve customer satisfaction across all departments.","The / new / policy / will / absolutely / improve / customer / satisfaction / across / all / departments","Despite the challenges, the team worked tirelessly and ultimately achieved an absolutely outstanding result in record time.","Despite / the / challenges, / the / team / worked / tirelessly / and / ultimately / achieved / an / absolutely / outstanding / result / in / record / time"
